wheel-base,length,width,height,curb-weight,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
88.6,0.811148486,0.890277778,0.816053512,2548,3.47,2.68,9,111,5000,21,8.703703704,13495
88.6,0.811148486,0.890277778,0.816053512,2548,3.47,2.68,9,111,5000,21,8.703703704,16500
94.5,0.822681403,0.909722222,0.876254181,2823,2.68,3.47,9,154,5000,19,9.038461538,16500
99.8,0.848630466,0.919444444,0.908026756,2337,3.19,3.4,10,102,5500,24,7.833333333,13950
99.4,0.848630466,0.922222222,0.908026756,2824,3.19,3.4,8,115,5500,18,10.68181818,17450
99.8,0.851994234,0.920833333,0.887959866,2507,3.19,3.4,8.5,110,5500,19,9.4,15250
105.8,0.925997117,0.991666667,0.931438127,2844,3.19,3.4,8.5,110,5500,19,9.4,17710
105.8,0.925997117,0.991666667,0.931438127,2954,3.19,3.4,8.5,110,5500,19,9.4,18920
105.8,0.925997117,0.991666667,0.934782609,3086,3.13,3.4,8.3,140,5500,17,11.75,23875
101.2,0.849591543,0.9,0.908026756,2395,3.5,2.8,8.8,101,5800,23,8.103448276,16430
101.2,0.849591543,0.9,0.908026756,2395,3.5,2.8,8.8,101,5800,23,8.103448276,16925
101.2,0.849591543,0.9,0.908026756,2710,3.31,3.19,9,121,4250,21,8.392857143,20970
101.2,0.849591543,0.9,0.908026756,2765,3.31,3.19,9,121,4250,21,8.392857143,21105
103.5,0.908217203,0.929166667,0.931438127,3055,3.31,3.19,9,121,4250,20,9.4,24565
103.5,0.908217203,0.929166667,0.931438127,3230,3.62,3.39,8,182,5400,16,10.68181818,30760
103.5,0.931283037,0.943055556,0.897993311,3380,3.62,3.39,8,182,5400,16,10.68181818,41315
110,0.946660259,0.984722222,0.941471572,3505,3.62,3.39,8,182,5400,15,11.75,36880
88.4,0.678039404,0.8375,0.889632107,1488,2.91,3.03,9.5,48,5100,47,4.433962264,5151
94.5,0.749159058,0.883333333,0.869565217,1874,3.03,3.11,9.6,70,5400,38,5.465116279,6295
94.5,0.763094666,0.883333333,0.869565217,1909,3.03,3.11,9.6,70,5400,38,5.465116279,6575
